cropRegCode,state,year,season,Registered Area,Inspected Area,Certified Area,Crop,Variety,CropCode,VarietyCode,Source Class,Destination Class,Estimated Yeild (Qtl),Intake Quantity,Intake Verified Quantity,Sowing Week,Sowing Month,Harvesting Week,harvesting month,District,Block,Village,Sowed Quantity,cropPattern,typeOfSowing,cropCondition,Tc Quantity
R23-8-1210,Odisha,2023-24,RABI (2023-24),2,2,2,Black gram (Biri),LBG 787 (Tulasi),C011,V468,CERTIFIED I,CERTIFIED II,14.4,14.5,14.5,Week 1,JANUARY,Week 5,APRIL,BALESHWAR,BALIAPAL,Antichak,0.4,Sole Cropping,Broadcasting,good,14.5
R23-8-774,Odisha,2023-24,RABI (2023-24),2,2,2,Black gram (Biri),LBG 787 (Tulasi),C011,V468,CERTIFIED I,CERTIFIED II,14.8,14.5,14.5,Week 4,JANUARY,Week 5,APRIL,BALESHWAR,NILGIRI,Bramhapur,0.4,Sole Cropping,Broadcasting,good,15
K23-1-1132,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,MTU-7029(SWARNA),C002,V016,FOUNDATION I,CERTIFIED I,92,50,50,Week 3,JUNE,Week 3,DECEMBER,SAMBALPUR,JAMANKIRA,Kharsanmal,0.8,Sole Cropping,Transplanting,good,60
R23-5-391,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 302-2 (KANIKA),C015,V624,FOUNDATION I,CERTIFIED I,14,14,14,Week 1,JANUARY,Week 1,MAY,MAYURBHANJ,SAMAKHUNTA,Dhanpur,0.2,Sole Cropping,Broadcasting,good,14
R23-6-8,Odisha,2023-24,RABI (2023-24),10,10,10,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,FOUNDATION I,CERTIFIED I,180,198,198,Week 1,DECEMBER,Week 3,MARCH,GANJAM,GANJAM,Ramagada(Palurugada),15,Sole Cropping,Broadcasting,good,180
K23-1-599,Odisha,2023-24,KHARIF (2023),4,4,4,Ground nut PeanutMung phalli,Gujarat Junagarh Groundnut 32(GJG 32)(ICGV 03043),C026,V514,FOUNDATION I,CERTIFIED I,12,3.6,3.6,Week 2,AUGUST,Week 2,DECEMBER,SUNDARGARH,LAHUNIPARA,Bandhberna,6,Sole Cropping,Dibbling,good,3.6
K23-2-401,Odisha,2023-24,KHARIF (2023),1,1,1,PaddyDhan,CR Dhan 506 (IET 23053)(CR 2687-2-3-1-1-1),C002,V529,BREEDER,FOUNDATION I,40,26,26,Week 1,JUNE,Week 2,DECEMBER,PURI,GOP,Gop,0.3,Sole Cropping,Transplanting,average,40.6
K23-3-506,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,Sarala (IET-10279),C002,V234,CERTIFIED I,CERTIFIED II,100,50,50,Week 5,JUNE,Week 2,DECEMBER,CUTTACK,SALEPUR,Balisahi,1,Sole Cropping,Transplanting,good,46
R23-8-1939,Odisha,2023-24,RABI (2023-24),2,2,2,Black gram (Biri),Shashi(OBG 33),C011,V511,FOUNDATION I,CERTIFIED I,12.4,12.5,12.5,Week 1,FEBRUARY,Week 5,APRIL,BALESHWAR,JALESWAR,Baliapal,0.4,Sole Cropping,Broadcasting,good,12.5
R23-3-161,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,20,11,11,Week 3,JANUARY,Week 1,APRIL,KENDRAPARA,DERABISH,Panapada,0.4,Sole Cropping,Broadcasting,good,14
K23-5-7,Odisha,2023-24,KHARIF (2023),2,2,2,Finger millet (Ragi),KMR-630,C005,V537,FOUNDATION I,CERTIFIED I,36,16,16,Week 4,JUNE,Week 3,OCTOBER,MAYURBHANJ,JOSHIPUR,Kenjhara,0.16,,,,15.5
K23-2-486,Odisha,2023-24,KHARIF (2023),4,4,4,PaddyDhan,CR 1009 SUB-1,C002,V380,BREEDER,FOUNDATION I,148,144,144,Week 5,JULY,Week 3,DECEMBER,PURI,SATYABADI,Jayapur,2.1,Sole Cropping,Transplanting,average,144
R23-8-62,Odisha,2023-24,RABI (2023-24),2,2,2,Toria,Sushree,C036,V438,FOUNDATION I,CERTIFIED I,12,12,12,Week 1,DECEMBER,Week 1,MARCH,BALESHWAR,BASTA,Gilajori,0.2,Sole Cropping,Broadcasting,good,13
K23-5-176,Odisha,2023-24,KHARIF (2023),3,3,3,PaddyDhan,MTU-7029(SWARNA),C002,V016,FOUNDATION I,CERTIFIED I,150,65,65,Week 1,JULY,Week 1,DECEMBER,MAYURBHANJ,BETNOTI,Paikapada,1.4,Sole Cropping,Transplanting,good,65
R23-8-1860,Odisha,2023-24,RABI (2023-24),2,2,2,Sesame (Gingelly/Til),KALINGA SESAME 3-1 (OSC 79),C033,V643,FOUNDATION I,CERTIFIED I,11.4,11,11,Week 1,FEBRUARY,Week 3,MAY,BALESHWAR,JALESWAR,Baliapal,0.2,Sole Cropping,Broadcasting,good,11.5
K23-6-261,Odisha,2023-24,KHARIF (2023),1,1,1,PaddyDhan,Amara (MTU-1064),C002,V302,FOUNDATION I,CERTIFIED I,40,25,25,Week 2,JULY,Week 2,DECEMBER,GAJAPATI,GUMMA,Padmapur,0.5,Sole Cropping,Transplanting,good,25
R23-8-500,Odisha,2023-24,RABI (2023-24),2,2,2,Black gram (Biri),LBG 787 (Tulasi),C011,V468,CERTIFIED I,CERTIFIED II,13,13,13,Week 5,JANUARY,Week 4,APRIL,BALESHWAR,BASTA,Bantuli,0.4,Sole Cropping,Broadcasting,good,13
K23-4-506,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,MTU-1001(VIJETHA),C002,V127,CERTIFIED I,CERTIFIED II,80,65,65,Week 2,JULY,Week 4,NOVEMBER,MALKANGIRI,MATHILI,Bariabahal,1,Sole Cropping,Transplanting,average,65
R23-2-341,Odisha,2023-24,RABI (2023-24),2,2,2,Black gram (Biri),Indira Urd Pratham (RU 03-14),C011,V440,FOUNDATION I,CERTIFIED I,14,13,13,Week 2,JANUARY,Week 3,APRIL,PURI,NIMAPADA,Sagada,0.4,Sole Cropping,Drilling,average,13
K23-1-878,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,MTU-7029(SWARNA),C002,V016,FOUNDATION I,CERTIFIED I,110,50,50,Week 3,JUNE,Week 1,DECEMBER,SAMBALPUR,Sambalpur Municipality,Sambalpur (M.Corp) - Ward No. 41,0.8,Sole Cropping,Transplanting,good,60
R23-7-43,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,50,19,19,Week 3,JANUARY,Week 2,APRIL,BALANGIR,BALANGIR,Bandhanghor,0.4,Sole Cropping,Dibbling,good,18
K23-7-399,Odisha,2023-24,KHARIF (2023),5,5,5,PaddyDhan,CR DHAN 601,C002,V496,FOUNDATION I,CERTIFIED I,250,275,275,Week 5,JUNE,Week 5,NOVEMBER,SONEPUR,DUNGURIPALI,Dahukbud,3,Sole Cropping,Transplanting,good,250
R23-8-257,Odisha,2023-24,RABI (2023-24),2,2,2,Ground nut PeanutMung phalli,Gujarat Junagarh Groundnut 32(GJG 32)(ICGV 03043),C026,V514,FOUNDATION I,CERTIFIED I,28,28,28,Week 1,DECEMBER,Week 3,APRIL,BALESHWAR,JALESWAR,Paikasida,3,Sole Cropping,Dibbling,good,28
R23-2-760,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,14,14,14,Week 2,JANUARY,Week 4,APRIL,PURI,PIPILI,Dakhinasahi,0.4,Sole Cropping,Drilling,average,13.5
K23-1-1197,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,Chandra(MTU-1153),C002,V395,FOUNDATION I,CERTIFIED I,100,110,110,Week 2,AUGUST,Week 2,NOVEMBER,BARGARH,BARGARH,Chandipali,0.2,Sole Cropping,Transplanting,good,100
R23-2-34,Odisha,2023-24,RABI (2023-24),3.2,3.2,3.2,Ground nut PeanutMung phalli,Gujarat Junagarh Groundnut 32(GJG 32)(ICGV 03043),C026,V514,BREEDER,FOUNDATION I,51.2,51,51,Week 2,DECEMBER,Week 3,APRIL,PURI,DELANGA,Jenapur-2,4.8,Sole Cropping,Drilling,average,51
K23-3-716,Odisha,2023-24,KHARIF (2023),3,3,3,PaddyDhan,Pradhan Dhan (CR 409),C002,V458,CERTIFIED I,CERTIFIED II,135,99,99,Week 4,JUNE,Week 2,DECEMBER,JAGATSINGHAPUR,NAUGAON,Arakhakuda,1.6,Sole Cropping,Transplanting,good,90
R23-3-507,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,20,11,11,Week 3,JANUARY,Week 1,APRIL,KENDRAPARA,DERABISH,Panapada,0.4,Sole Cropping,Broadcasting,good,12
K23-3-1109,Odisha,2023-24,KHARIF (2023),1,1,1,PaddyDhan,Kalachampa,C002,V372,FOUNDATION I,CERTIFIED I,40,25,25,Week 2,JULY,Week 2,DECEMBER,ANUGUL,ANUGUL,Samakoi,0.4,Sole Cropping,Transplanting,good,25
K23-1-2178,Odisha,2023-24,KHARIF (2023),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,CERTIFIED I,CERTIFIED II,18,19.8,19.8,Week 4,AUGUST,Week 2,NOVEMBER,BARGARH,PAIKMAL,Kechhodadar,0.4,Sole Cropping,Broadcasting,good,19
R23-8-212,Odisha,2023-24,RABI (2023-24),2,2,2,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,FOUNDATION I,CERTIFIED I,25.4,25.6,25.6,Week 2,DECEMBER,Week 2,APRIL,BALESHWAR,BALIAPAL,Sunakania,3,Sole Cropping,Dibbling,good,26.5
R23-3-261,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,20,11.5,11.5,Week 3,JANUARY,Week 1,APRIL,KENDRAPARA,DERABISH,Panapada,0.4,Sole Cropping,Broadcasting,good,12
K23-8-349,Odisha,2023-24,KHARIF (2023),1,1,1,PaddyDhan,MTU-7029(SWARNA),C002,V016,FOUNDATION I,CERTIFIED I,45,42,42,Week 1,JULY,Week 5,NOVEMBER,BALESHWAR,SIMULIA,Sanamaitapur,0.6,Sole Cropping,Transplanting,good,42
K23-6-235,Odisha,2023-24,KHARIF (2023),4,4,4,PaddyDhan,POOJA (IET-12241),C002,V096,FOUNDATION I,CERTIFIED I,160,85,85,Week 3,JULY,Week 1,DECEMBER,GANJAM,DIGAPAHANDI,Phasiguda,2,Sole Cropping,Transplanting,good,100
K23-1-589,Odisha,2023-24,KHARIF (2023),4,4,4,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,FOUNDATION I,CERTIFIED I,12,6.9,6.9,Week 3,JULY,Week 3,NOVEMBER,SUNDARGARH,LAHUNIPARA,Dhudi,6,Sole Cropping,Dibbling,good,6.9
R23-5-320,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 302-2 (KANIKA),C015,V624,FOUNDATION I,CERTIFIED I,14,13,13,Week 1,JANUARY,Week 4,APRIL,MAYURBHANJ,KAPTIPADA,Rathipur,0.4,Sole Cropping,Broadcasting,good,14
K23-1-863,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,SAHABHAGI DHAN,C002,V235,FOUNDATION I,CERTIFIED I,90,54,54,Week 4,JUNE,Week 1,NOVEMBER,SUNDARGARH,SUNDARGARH,Kopsingha,1,Sole Cropping,Transplanting,good,60
R23-8-329,Odisha,2023-24,RABI (2023-24),2,2,2,Ground nut PeanutMung phalli,Gujarat Junagarh Groundnut 32(GJG 32)(ICGV 03043),C026,V514,FOUNDATION I,CERTIFIED I,24,26,26,Week 2,JANUARY,Week 5,APRIL,BALESHWAR,JALESWAR,Paikasida,3,Sole Cropping,Dibbling,good,24.4
R23-3-165,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,20,11,11,Week 3,JANUARY,Week 6,MARCH,KENDRAPARA,DERABISH,Panapada,0.4,Sole Cropping,Broadcasting,good,14
K23-5-366,Odisha,2023-24,KHARIF (2023),1,1,1,PaddyDhan,POOJA (IET-12241),C002,V096,FOUNDATION I,CERTIFIED I,40,19,19,Week 1,JULY,Week 1,DECEMBER,KENDUJHAR,GHASIPURA,Kesadurapal,0.4,,Transplanting,average,20
R23-6-81,Odisha,2023-24,RABI (2023-24),10,10,10,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,50,50,50,Week 1,JANUARY,Week 4,MARCH,GANJAM,KABISURYANAGAR,Sundariapada,2,Sole Cropping,Broadcasting,good,55
K23-7-99,Odisha,2023-24,KHARIF (2023),1,1,1,Pigeon pea (Red gram/Arhar),Ujwala (PRG 176),C022,V341,FOUNDATION I,CERTIFIED I,12,10,10,Week 5,JUNE,Week 5,JANUARY,KALAHANDI,DHARAMAGARH,Rajibpur,0,Sole Cropping,Dibbling,good,13
K23-6-180,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,SWARANA-SUB 1 (CR 2539-1) IET-20266,C002,V118,FOUNDATION I,CERTIFIED I,76,29,29,Week 5,JUNE,Week 1,DECEMBER,GANJAM,BHANJANAGAR,Bhereda,1,Sole Cropping,Transplanting,good,45
R23-8-1567,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,14.6,14.5,14.5,Week 2,JANUARY,Week 2,MAY,BALESHWAR,BHOGRAI,Barbatia,0.4,Sole Cropping,Broadcasting,good,15
K23-1-628,Odisha,2023-24,KHARIF (2023),4,4,4,PaddyDhan,Tarangini (MTU 1156),C002,V379,FOUNDATION I,CERTIFIED I,160,176,176,Week 3,JULY,Week 4,OCTOBER,BARGARH,PAIKMAL,Badikata,2,,,,160
R23-2-274,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,14,13.5,13.5,Week 2,JANUARY,Week 3,APRIL,KHORDHA,BALIPATNA,Abhaymukhi,0.4,Sole Cropping,Broadcasting,good,13.5
K23-3-163,Odisha,2023-24,KHARIF (2023),0.25,0.25,0.25,PaddyDhan,UDAYAGIRI (IET-12316),C002,V122,BREEDER,FOUNDATION I,4,4.4,4.4,Week 2,JULY,Week 3,OCTOBER,DHENKANAL,DHENKANAL SADAR,Sankhua,0,,,,4
K23-7-1181,Odisha,2023-24,KHARIF (2023),1,1,1,PaddyDhan,MTU-1001(VIJETHA),C002,V127,CERTIFIED I,CERTIFIED II,55,45,45,Week 1,JULY,Week 3,NOVEMBER,BALANGIR,BALANGIR,Naikenpali,0.6,Sole Cropping,Transplanting,good,50
R23-2-88,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,14,14,14,Week 2,JANUARY,Week 3,APRIL,PURI,DELANGA,Sadangoipaschimbar,0.4,Sole Cropping,Drilling,average,14
K23-8-175,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,SWARANA-SUB 1 (CR 2539-1) IET-20266,C002,V118,FOUNDATION I,CERTIFIED I,80,61,61,Week 1,AUGUST,Week 5,NOVEMBER,BALESHWAR,SIMULIA,Teliapada,1,Sole Cropping,Transplanting,good,70
K23-2-158,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,GAYATRI (IET-8022),C002,V059,FOUNDATION I,CERTIFIED I,96,50,50,Week 1,JULY,Week 2,DECEMBER,KHORDHA,BALIPATNA,Badala Sasan,1,Sole Cropping,Transplanting,good,50
R23-8-1289,Odisha,2023-24,RABI (2023-24),2,2,2,Black gram (Biri),Shashi(OBG 33),C011,V511,FOUNDATION I,CERTIFIED I,14,14,14,Week 1,JANUARY,Week 4,OCTOBER,BALESHWAR,BALIAPAL,Sethpura,0.4,Sole Cropping,Broadcasting,good,14
R23-8-280,Odisha,2023-24,RABI (2023-24),4,4,4,Ground nut PeanutMung phalli,Gujarat Junagarh Groundnut 32(GJG 32)(ICGV 03043),C026,V514,FOUNDATION I,CERTIFIED I,57.2,62.8,62.8,Week 4,DECEMBER,Week 2,APRIL,BALESHWAR,BHOGRAI,Subhanandipur,3,Sole Cropping,Dibbling,good,58
K23-5-456,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,SWARANA-SUB 1 (CR 2539-1) IET-20266,C002,V118,FOUNDATION I,CERTIFIED I,96,46,46,Week 1,JULY,Week 1,DECEMBER,MAYURBHANJ,KAPTIPADA,Sarbanaghaty,1,Sole Cropping,Transplanting,good,46
R23-2-205,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,14.4,13,13,Week 2,JANUARY,Week 3,APRIL,PURI,PIPILI,Abalapur,0.4,Sole Cropping,Broadcasting,good,13
K23-1-677,Odisha,2023-24,KHARIF (2023),5,5,5,PaddyDhan,Chandra(MTU-1153),C002,V395,FOUNDATION I,CERTIFIED I,275,302,302,Week 3,JUNE,Week 1,NOVEMBER,BARGARH,BARGARH,Kuruan,3,Sole Cropping,Transplanting,excellent ,275
R23-4-115,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,14,15,15,Week 1,JANUARY,Week 4,APRIL,NABARANGPUR,UMERKOTE,Adhikariguda,0.4,Sole Cropping,Broadcasting,good,14
R23-8-1562,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,14.8,14.5,14.5,Week 2,JANUARY,Week 2,MAY,BALESHWAR,BHOGRAI,Barbatia,0.4,Sole Cropping,Broadcasting,good,15
K23-6-297,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,POOJA (IET-12241),C002,V096,FOUNDATION I,CERTIFIED I,78,45.5,45.5,Week 4,JUNE,Week 1,DECEMBER,GANJAM,BELLAGUNTHA,Mahulia,0.1,Sole Cropping,Transplanting,good,45.5
K23-3-839,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,Tarangini (MTU 1156),C002,V379,FOUNDATION I,CERTIFIED I,80,36,36,Week 1,JULY,Week 1,NOVEMBER,CUTTACK,TANGI CHOUDWAR,Agrahat,1,Sole Cropping,Transplanting,good,46
R23-8-1384,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,FOUNDATION I,CERTIFIED I,14,14,14,Week 1,FEBRUARY,Week 4,APRIL,BALESHWAR,BASTA,Sonpur,0.4,Sole Cropping,Broadcasting,good,14
K23-3-470,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,POOJA (IET-12241),C002,V096,FOUNDATION I,CERTIFIED I,80,39.5,39.5,Week 1,JULY,Week 4,DECEMBER,DHENKANAL,GONDIA,Gandia,1,Sole Cropping,Transplanting,average,36
R23-7-221,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,18,19.5,19.5,Week 4,JANUARY,Week 2,APRIL,KALAHANDI,JUNAGARH,Chingedisar,0.4,Sole Cropping,Broadcasting,good,19.5
K23-8-179,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,MTU-7029(SWARNA),C002,V016,FOUNDATION I,CERTIFIED I,90,72,72,Week 1,AUGUST,Week 6,NOVEMBER,BALESHWAR,SIMULIA,Similia,1,Sole Cropping,Transplanting,good,72
R23-8-459,Odisha,2023-24,RABI (2023-24),2,2,1.8,Black gram (Biri),LBG 787 (Tulasi),C011,V468,CERTIFIED I,CERTIFIED II,9,9,9,Week 1,FEBRUARY,Week 4,APRIL,BALESHWAR,JALESWAR,Paikasida,0.4,Sole Cropping,Broadcasting,good,9.5
K23-6-238,Odisha,2023-24,KHARIF (2023),4,4,4,PaddyDhan,Maruteru Mashuri MTU 1262(IET 27151),C002,V531,FOUNDATION I,CERTIFIED I,160,84,84,Week 3,JULY,Week 1,DECEMBER,GANJAM,DIGAPAHANDI,Phasiguda,2,Sole Cropping,Transplanting,good,100
R23-8-675,Odisha,2023-24,RABI (2023-24),2,2,2,Black gram (Biri),PANT URD 9(PU 11-25),C011,V645,FOUNDATION I,CERTIFIED I,14,14,14,Week 4,FEBRUARY,Week 4,APRIL,BALESHWAR,BALIAPAL,Sethpura,0.4,Sole Cropping,Broadcasting,good,14
K23-4-656,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,Hasanta,C002,V416,FOUNDATION I,CERTIFIED I,80,45,45,Week 1,JULY,Week 5,NOVEMBER,KORAPUT,JEYPORE,Ghirigam,1,Sole Cropping,Transplanting,good,80
R23-6-55,Odisha,2023-24,RABI (2023-24),10,10,10,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,FOUNDATION I,CERTIFIED I,60,60,60,Week 2,JANUARY,Week 4,MARCH,GANJAM,BHANJANAGAR,Dihapadhal,2,Sole Cropping,Broadcasting,good,65
K23-1-613,Odisha,2023-24,KHARIF (2023),0.5,0.5,0.5,PaddyDhan,Tarangini (MTU 1156),C002,V379,BREEDER,FOUNDATION I,27.5,29.5,29.5,Week 3,JUNE,Week 2,NOVEMBER,BARGARH,BARGARH,Bagdia,0.3,Sole Cropping,Transplanting,good,27
R23-3-68,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,20,11.5,11.5,Week 3,JANUARY,Week 3,APRIL,JAJAPUR,KOREI,Aladajalasarpur,0.4,Sole Cropping,Transplanting,average,12
K23-2-293,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,CR 1009 SUB-1,C002,V380,FOUNDATION I,CERTIFIED I,76,50,50,Week 1,AUGUST,Week 2,DECEMBER,PURI,PIPILI,Daradada,1,Sole Cropping,Transplanting,average,50
R23-2-371,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,14,13.5,13.5,Week 2,JANUARY,Week 4,APRIL,KHORDHA,BHUBANESWAR,Basantapur sasan,0.4,Sole Cropping,Broadcasting,good,13.5
R23-1-258,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,CERTIFIED I,CERTIFIED II,18,19.5,19.5,Week 4,JANUARY,Week 5,APRIL,BARGARH,BARPALI,Ainthapali,0.4,Sole Cropping,Broadcasting,good,18
K23-6-802,Odisha,2023-24,KHARIF (2023),7,7,7,PaddyDhan,INDRA(MTV-1061),C002,V635,FOUNDATION I,CERTIFIED I,280,200,200,Week 5,JUNE,Week 3,DECEMBER,GANJAM,CHIKITI,Badabaranga,3.3,Sole Cropping,Transplanting,good,280
K23-7-3,Odisha,2023-24,KHARIF (2023),4,4,4,PaddyDhan,Maruteru Mashuri MTU 1262(IET 27151),C002,V531,FOUNDATION I,CERTIFIED I,212,140,140,Week 3,JUNE,Week 3,DECEMBER,KALAHANDI,JUNAGARH,Baldhiamal,2,Sole Cropping,Transplanting,good,189
K23-7-114,Odisha,2023-24,KHARIF (2023),1,1,1,PaddyDhan,POOJA (IET-12241),C002,V096,FOUNDATION I,CERTIFIED I,50,39,39,Week 3,JUNE,Week 3,DECEMBER,KALAHANDI,JUNAGARH,Puragaon,0.6,Sole Cropping,Transplanting,good,36
R23-3-457,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,16,11.5,11.5,Week 3,JANUARY,Week 3,APRIL,CUTTACK,NIALI,Mahanga,0.4,Sole Cropping,Broadcasting,good,12
R23-2-365,Odisha,2023-24,RABI (2023-24),2,2,2,Black gram (Biri),Indira Urd Pratham (RU 03-14),C011,V440,FOUNDATION I,CERTIFIED I,14,13,13,Week 2,JANUARY,Week 4,APRIL,KHORDHA,BHUBANESWAR,Basantapur sasan,0.4,Sole Cropping,Broadcasting,good,13
K23-6-867,Odisha,2023-24,KHARIF (2023),1,1,1,Black gram (Biri),LBG 787 (Tulasi),C011,V468,CERTIFIED I,CERTIFIED II,4,0.31,0.31,Week 1,OCTOBER,Week 1,JANUARY,KANDHAMAL,RAIKIA,Nahudimaha,0.2,Sole Cropping,Drilling,good,0.62
R23-8-319,Odisha,2023-24,RABI (2023-24),2,2,2,Ground nut PeanutMung phalli,Gujarat Junagarh Groundnut 32(GJG 32)(ICGV 03043),C026,V514,FOUNDATION I,CERTIFIED I,25.2,26,26,Week 2,JANUARY,Week 4,APRIL,BALESHWAR,JALESWAR,Paikasida,3,Sole Cropping,Dibbling,good,26.4
K23-4-338,Odisha,2023-24,KHARIF (2023),4,4,4,PaddyDhan,MTU-1001(VIJETHA),C002,V127,CERTIFIED I,CERTIFIED II,160,176,176,Week 1,JULY,Week 4,NOVEMBER,KORAPUT,KUNDURA,Dangarpaunsi,2,Sole Cropping,Transplanting,good,160
K23-3-782,Odisha,2023-24,KHARIF (2023),1,1,1,PaddyDhan,Kalachampa,C002,V372,FOUNDATION I,CERTIFIED I,46,25,25,Week 5,JUNE,Week 3,DECEMBER,JAGATSINGHAPUR,TIRTOL,Gobinda Pur,0.6,Sole Cropping,Transplanting,good,30
R23-8-924,Odisha,2023-24,RABI (2023-24),4,4,4,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,FOUNDATION I,CERTIFIED I,26.8,26,26,Week 1,FEBRUARY,Week 3,MAY,BHADRAK,BHANDARIPOKHARI,Nuapokhari(GP-RANANIA),0.8,Sole Cropping,Broadcasting,good,26
K23-1-2183,Odisha,2023-24,KHARIF (2023),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,CERTIFIED I,CERTIFIED II,16,17.6,17.6,Week 4,AUGUST,Week 2,NOVEMBER,BARGARH,PAIKMAL,Kechhodadar,0.4,Sole Cropping,Broadcasting,good,17.5
R23-8-118,Odisha,2023-24,RABI (2023-24),6,6,6,Toria,Sushree,C036,V438,FOUNDATION I,CERTIFIED I,43.8,47.5,47.5,Week 3,NOVEMBER,Week 3,FEBRUARY,BALESHWAR,JALESWAR,Chalnti,0.6,Sole Cropping,Broadcasting,good,45
K23-5-210,Odisha,2023-24,KHARIF (2023),2,2,2,Pigeon pea (Red gram/Arhar),BRG 5,C022,V435,FOUNDATION I,CERTIFIED I,14,2,2,Week 2,AUGUST,Week 4,FEBRUARY,MAYURBHANJ,BANGRIPOSI,Sasadapal,0.4,Inter Cropping,Broadcasting,average,2
R23-5-607,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,FOUNDATION I,CERTIFIED I,16,16,16,Week 3,JANUARY,Week 1,APRIL,KENDUJHAR,BANSAPAL,Tiriba,0.4,Sole Cropping,Broadcasting,good,16.5
K23-6-651,Odisha,2023-24,KHARIF (2023),4,4,4,PaddyDhan,MTU-7029(SWARNA),C002,V016,FOUNDATION I,CERTIFIED I,160,92,92,Week 1,AUGUST,Week 5,NOVEMBER,GANJAM,BEGUNIAPADA,Titiridi,2,Sole Cropping,Transplanting,good,100
